user_id,risk_score,decision,reason_str,graph_risk_score,temporal_risk_score,anomaly_score,fraud_label
84,50.7,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),74.32,48.97094,29.31116,1
85,45.7,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | High return ratio (112% of orders returned),73.96,48.9387,13.119003,0
86,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),73.95,48.98081,0.0,0
87,45.3,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | High return ratio (92% of orders returned),74.12,48.97118,11.705199,1
88,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),74.12,48.955708,0.0,0
89,43.3,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),79.05,48.9483,0.0,0
90,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),73.96,48.964943,0.0,1
91,41.9,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),74.32,48.96897,0.0,0
92,41.9,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),74.32,48.949047,0.0,0
93,42.6,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | High return ratio (165% of orders returned),76.5,49.000065,0.0,1
94,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),73.95,48.972973,0.0,1
95,42.5,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | High return ratio (128% of orders returned),76.5,48.95677,0.0,1
96,43.0,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | High return ratio (80% of orders returned),78.04,48.9456,0.0,0
97,42.9,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | High return ratio (105% of orders returned),77.83,48.934418,0.0,0
98,45.7,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | High return ratio (98% of orders returned),80.36,48.976677,6.8327928,1
99,45.4,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),74.12,48.95523,12.005726,0
100,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),73.95,48.972595,0.0,0
101,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | High return ratio (69% of orders returned),73.96,48.973648,0.0,1
102,42.9,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),77.78,48.94578,0.0,1
103,44.0,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),73.96,48.959763,7.3518486,0
104,41.9,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),74.32,48.91611,0.0,0
105,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),74.12,48.972084,0.0,1
106,61.6,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | Behavior significantly deviates from normal user profile,77.83,48.961754,62.180775,1
107,43.4,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),77.78,49.00459,1.459268,1
108,43.0,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | High return ratio (207% of orders returned),72.77,48.91693,5.2809715,0
109,44.2,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),73.96,48.983936,8.20532,1
110,59.1,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),79.05,48.925556,52.703476,1
111,51.0,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),73.96,48.94633,30.891478,1
112,43.9,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),74.32,48.963985,6.71703,0
113,41.9,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),74.32,48.89394,0.0,0
114,42.6,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),76.7,48.962666,0.0,1
115,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),73.96,48.942947,0.0,1
116,99.9,BLOCK,Connected to multiple suspicious accounts (fraud ring detected) | Abnormal transaction burst or return spike detected | Behavior significantly deviates from normal user profile,99.84,99.93064,100.0,1
117,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),74.12,48.980385,0.0,0
118,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),74.12,48.923023,0.0,0
119,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | High return ratio (62% of orders returned),74.12,48.958603,0.0,1
120,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),74.12,48.945026,0.0,1
121,41.9,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),74.32,48.945488,0.0,0
122,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | High return ratio (105% of orders returned),73.96,48.959667,0.0,0
123,46.5,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | High return ratio (112% of orders returned),74.32,48.938152,15.262929,0
124,48.2,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),72.5,48.942024,23.056715,0
125,46.7,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | High return ratio (62% of orders returned),76.43,48.96481,14.105044,0
126,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),74.12,48.949207,0.0,0
127,42.5,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),76.5,48.948013,0.0,1
128,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),73.95,48.95522,0.0,1
129,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),74.12,48.962795,0.0,1
130,99.9,BLOCK,Connected to multiple suspicious accounts (fraud ring detected) | Abnormal transaction burst or return spike detected | Behavior significantly deviates from normal user profile,99.84,99.93066,100.0,1
131,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | High return ratio (98% of orders returned),73.96,48.972546,0.0,1
132,45.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),72.5,48.95321,14.968744,1
133,41.4,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),72.77,48.9388,0.0,0
134,99.9,BLOCK,Connected to multiple suspicious accounts (fraud ring detected) | Abnormal transaction burst or return spike detected | Behavior significantly deviates from normal user profile,99.84,99.93066,100.0,1
135,51.7,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),71.05,48.911877,36.035515,0
136,43.7,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),80.36,48.933514,0.0,0
137,99.9,BLOCK,Connected to multiple suspicious accounts (fraud ring detected) | Abnormal transaction burst or return spike detected | Behavior significantly deviates from normal user profile,99.84,99.93066,100.0,1
138,41.9,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),74.32,48.94881,0.0,0
139,42.5,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),74.12,48.964138,2.1967185,0
140,41.9,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | High return ratio (74% of orders returned),74.32,48.9631,0.0,0
141,48.6,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),74.32,48.97415,22.42385,1
142,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),74.12,48.950867,0.0,0
143,46.9,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | High return ratio (111% of orders returned),77.13,48.983547,13.840948,1
144,41.9,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | High return ratio (64% of orders returned),74.32,48.97112,0.0,0
145,42.9,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),77.83,48.923702,0.0,1
146,47.5,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),79.05,48.938957,14.037858,1
147,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),73.96,48.974834,0.0,0
148,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),73.96,48.95066,0.0,1
149,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | High return ratio (157% of orders returned),73.95,48.933456,0.0,0
150,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),74.12,48.942368,0.0,0
151,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | High return ratio (80% of orders returned),73.96,48.962135,0.0,0
152,40.9,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),71.05,48.980328,0.0,1
153,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),73.96,48.972664,0.0,0
154,41.9,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | High return ratio (149% of orders returned),74.44,48.959164,0.0,1
155,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),73.96,48.97038,0.0,1
156,41.9,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),74.32,48.939957,0.0,1
157,44.2,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),73.96,48.967506,8.246623,0
158,43.0,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | High return ratio (137% of orders returned),78.04,48.952454,0.0,1
159,47.5,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | High return ratio (168% of orders returned),74.32,48.903473,18.746277,1
160,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | High return ratio (120% of orders returned),73.96,48.980602,0.0,0
161,47.1,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),72.77,48.93702,18.817623,0
162,41.9,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),74.44,48.93753,0.0,1
163,41.9,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),74.32,48.94519,0.0,1
164,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),73.96,48.94522,0.0,0
165,42.9,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),77.78,48.97042,0.0,1
166,41.4,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),72.82,48.965267,0.0,0
167,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),74.12,48.953506,0.0,0
168,43.3,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),79.05,48.96052,0.0,1
169,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),74.12,48.95756,0.0,0
170,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),74.12,48.96286,0.0,1
171,42.7,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),77.13,48.858868,0.0,0
172,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),73.95,48.957127,0.0,0
173,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),74.12,48.962315,0.0,1
174,48.9,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),74.12,48.988224,23.505487,0
175,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),74.12,48.953506,0.0,1
176,52.5,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),74.32,48.95378,35.386215,1
177,51.0,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),74.12,48.93474,30.636671,0
178,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),73.95,48.937866,0.0,0
179,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | High return ratio (165% of orders returned),73.96,48.955093,0.0,1
180,99.9,BLOCK,Connected to multiple suspicious accounts (fraud ring detected) | Abnormal transaction burst or return spike detected | Behavior significantly deviates from normal user profile,99.84,99.93066,100.0,1
181,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | High return ratio (219% of orders returned),74.12,48.964798,0.0,0
182,42.9,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),77.78,48.95196,0.0,0
183,42.6,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | High return ratio (137% of orders returned),76.7,48.92659,0.0,0
184,40.9,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),71.05,48.97319,0.0,1
185,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),73.96,48.96825,0.0,1
186,43.1,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | Multiple 'Wardrobing' returns flagged,74.32,48.92864,4.0044127,0
187,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | High return ratio (203% of orders returned),74.12,48.968536,0.0,1
188,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),73.96,48.943993,0.0,1
189,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),74.12,48.94711,0.0,1
190,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),73.96,48.954956,0.0,1
191,41.9,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),74.32,48.98193,0.0,1
192,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),73.95,48.974564,0.0,1
193,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | High return ratio (105% of orders returned),74.12,48.953163,0.0,0
194,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),74.12,48.95865,0.0,0
195,46.7,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),73.95,48.971375,16.445015,0
196,41.4,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),72.82,48.986248,0.0,1
197,42.5,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),76.43,48.954666,0.0,0
198,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | High return ratio (55% of orders returned),73.95,48.945736,0.0,0
199,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),74.12,48.966698,0.0,1
200,48.3,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),76.7,48.9632,19.133577,1
201,41.9,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),74.44,48.97751,0.0,0
202,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),73.96,48.957726,0.0,1
203,99.9,BLOCK,Connected to multiple suspicious accounts (fraud ring detected) | Abnormal transaction burst or return spike detected | Behavior significantly deviates from normal user profile,99.84,99.93064,100.0,1
204,41.9,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | High return ratio (120% of orders returned),74.32,48.985962,0.0,0
205,46.7,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),73.96,48.98749,16.46773,1
206,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),73.96,48.995544,0.0,0
207,42.2,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | High return ratio (74% of orders returned),74.12,48.964493,1.2186142,1
208,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),73.95,48.942913,0.0,0
209,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),73.95,48.950066,0.0,0
210,42.6,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),76.7,48.957767,0.0,0
211,44.5,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | High return ratio (86% of orders returned),77.13,48.967335,5.8502207,1
212,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | High return ratio (128% of orders returned),74.12,48.97749,0.0,0
213,40.9,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),71.05,48.96127,0.0,0
214,41.9,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),74.32,48.98749,0.0,1
215,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),73.95,48.950718,0.0,1
216,46.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | High return ratio (92% of orders returned),74.32,48.959396,16.509142,1
217,99.9,BLOCK,Connected to multiple suspicious accounts (fraud ring detected) | Abnormal transaction burst or return spike detected | Behavior significantly deviates from normal user profile | High return ratio (142% of orders returned) | Multiple 'Wardrobing' returns flagged,99.84,99.93064,100.0,1
218,45.5,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | High return ratio (252% of orders returned),73.96,48.967274,12.258211,0
219,41.9,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),74.32,48.95558,0.0,0
220,63.9,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | Behavior significantly deviates from normal user profile,74.44,48.944424,73.15923,0
221,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),73.96,48.947964,0.0,0
222,44.0,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | High return ratio (86% of orders returned),77.78,48.962433,3.4873288,1
223,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | High return ratio (142% of orders returned),73.96,48.961704,0.0,1
224,41.9,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | High return ratio (64% of orders returned),74.32,48.969154,0.0,1
225,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),74.12,48.964798,0.0,0
226,41.9,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),74.32,48.966835,0.0,0
227,44.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),73.95,48.97068,10.064072,1
228,45.2,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),74.12,48.97311,11.347183,0
229,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),73.96,48.973553,0.0,0
230,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),73.96,48.98448,0.0,1
231,47.9,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),74.32,48.951477,20.031334,1
232,41.9,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | High return ratio (183% of orders returned),74.32,48.943634,0.0,1
233,62.1,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | Behavior significantly deviates from normal user profile,73.96,48.937397,67.632164,0
234,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | High return ratio (60% of orders returned),73.96,48.956036,0.0,1
235,42.9,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),77.83,48.98805,0.0,1
236,41.2,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | High return ratio (86% of orders returned),72.06,48.95564,0.0,0
237,42.9,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),77.83,48.883945,0.0,0
238,41.9,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | High return ratio (149% of orders returned),74.32,48.96339,0.0,1
239,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),74.12,48.94632,0.0,0
240,50.0,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | High return ratio (98% of orders returned),74.12,49.00063,27.091763,0
241,42.7,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),77.13,48.957382,0.0,0
242,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),73.96,48.947147,0.0,1
243,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | High return ratio (86% of orders returned),73.96,48.9276,0.0,1
244,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),73.96,48.931004,0.0,1
245,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),74.12,48.954166,0.0,0
246,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected) | High return ratio (98% of orders returned),73.95,48.971622,0.0,0
247,41.8,VERIFY,Connected to multiple suspicious accounts (fraud ring detected),74.12,48.96567,0.0,0
