user_id,return_reason,days_to_return,return_status,return_amount
2936,Quality Issue,28,Approved,2097.47
3916,Changed Mind,10,Approved,176.91
1215,Changed Mind,22,Approved,999.4
4827,Damaged,22,Pending,1871.29
3319,Wrong Item,26,Rejected,3363.08
3197,Damaged,17,Rejected,413.27
4598,Wrong Item,29,Approved,1812.59
3798,Quality Issue,14,Pending,1889.82
435,Wrong Item,24,Approved,3975.96
1729,Changed Mind,24,Pending,1447.43
1061,Quality Issue,17,Approved,4470.39
4410,Quality Issue,11,Approved,4725.45
211,Changed Mind,7,Pending,1185.76
1215,Quality Issue,5,Pending,1951.03
3585,Changed Mind,16,Approved,3693.95
4169,Changed Mind,13,Approved,1416.34
3020,Quality Issue,8,Approved,4147.47
5165,Wrong Item,23,Approved,4872.04
5514,Wrong Item,7,Approved,3193.67
793,Changed Mind,15,Approved,890.37
5716,Wardrobing,4,Approved,109.48
3687,Damaged,4,Rejected,2108.43
3818,Wrong Item,5,Approved,1211.75
571,Wardrobing,1,Approved,3892.2
3732,Wrong Item,21,Approved,2402.04
4355,Wardrobing,24,Pending,3197.92
3485,Damaged,24,Approved,3070.68
507,Wrong Item,23,Pending,277.83
3140,Changed Mind,14,Pending,3569.18
5616,Wrong Item,18,Approved,4145.98
4341,Wrong Item,12,Approved,2409.01
825,Changed Mind,27,Approved,2952.05
5760,Changed Mind,9,Approved,804.53
5754,Damaged,18,Approved,3327.72
1017,Quality Issue,8,Approved,4704.18
4806,Damaged,1,Approved,3588.58
2441,Damaged,29,Approved,170.91
3563,Quality Issue,8,Approved,1616.17
2672,Damaged,26,Rejected,4774.25
4696,Quality Issue,24,Approved,3374.38
5980,Wrong Item,12,Approved,1691.0
4771,Changed Mind,13,Approved,3042.21
5589,Quality Issue,3,Approved,900.14
5677,Damaged,24,Approved,4630.74
541,Wardrobing,20,Approved,2010.88
1521,Changed Mind,29,Approved,1041.25
4332,Wrong Item,10,Approved,467.09
3541,Wardrobing,13,Approved,271.4
301,Wrong Item,21,Approved,3260.82
571,Wardrobing,4,Approved,3439.03
3124,Wrong Item,11,Approved,3326.87
3697,Damaged,7,Approved,1639.23
1007,Quality Issue,29,Rejected,3983.37
1028,Quality Issue,15,Approved,4215.51
777,Changed Mind,23,Approved,3055.06
3390,Damaged,20,Approved,3115.93
48,Damaged,19,Approved,1042.98
3435,Wrong Item,11,Pending,4304.66
2856,Damaged,11,Rejected,514.57
2796,Wardrobing,16,Approved,4031.43
4076,Changed Mind,6,Approved,2151.39
3136,Changed Mind,17,Approved,580.9
4367,Changed Mind,5,Rejected,400.86
4584,Damaged,10,Pending,4943.58
5521,Damaged,20,Approved,2888.28
4796,Wrong Item,3,Approved,2277.53
3107,Changed Mind,4,Approved,4634.59
2953,Wrong Item,8,Approved,2368.86
1415,Damaged,23,Approved,4250.27
3598,Quality Issue,24,Pending,4283.07
835,Damaged,3,Approved,3775.31
5588,Quality Issue,10,Pending,566.06
5071,Damaged,4,Approved,4777.78
719,Quality Issue,3,Approved,3173.82
4716,Wrong Item,28,Approved,2101.66
703,Changed Mind,14,Approved,3855.56
4328,Changed Mind,24,Approved,462.26
527,Damaged,21,Approved,974.57
2930,Changed Mind,15,Approved,3420.34
3948,Changed Mind,23,Approved,3184.84
4373,Quality Issue,9,Pending,2669.54
2512,Wardrobing,14,Pending,3405.55
5530,Changed Mind,13,Rejected,4754.5
4646,Damaged,18,Approved,738.48
1250,Wrong Item,8,Approved,1779.92
4028,Wardrobing,4,Approved,1537.9
4384,Quality Issue,25,Approved,4682.59
2002,Wardrobing,27,Approved,1017.33
4430,Quality Issue,27,Approved,1902.18
5391,Wrong Item,20,Approved,4538.68
4903,Wardrobing,24,Approved,3383.19
4576,Changed Mind,21,Approved,252.69
3807,Wrong Item,28,Rejected,4805.05
1624,Wardrobing,5,Approved,394.69
4772,Wrong Item,8,Approved,2657.29
2186,Quality Issue,14,Approved,1286.44
3194,Quality Issue,19,Rejected,3196.15
1887,Wardrobing,27,Approved,1489.75
1879,Changed Mind,1,Rejected,4106.12
946,Wrong Item,7,Approved,2869.42
5768,Quality Issue,26,Approved,1633.23
887,Changed Mind,11,Approved,4341.53
518,Damaged,3,Approved,3908.45
5617,Damaged,21,Approved,2516.38
3331,Wardrobing,26,Approved,2506.99
2628,Changed Mind,27,Approved,2392.61
4425,Wrong Item,26,Approved,2746.35
2300,Wrong Item,4,Approved,4305.01
768,Quality Issue,6,Approved,461.48
4379,Quality Issue,26,Rejected,2003.3
1056,Quality Issue,21,Rejected,3775.62
3318,Changed Mind,8,Approved,4823.88
5695,Damaged,13,Pending,850.46
5617,Changed Mind,26,Approved,313.01
2165,Damaged,28,Pending,4044.99
4682,Wardrobing,1,Rejected,4855.02
3677,Damaged,15,Approved,3601.98
2877,Damaged,23,Approved,2814.84
840,Damaged,4,Pending,1243.56
2259,Damaged,27,Approved,4795.97
3912,Wrong Item,8,Approved,3639.13
5920,Quality Issue,28,Pending,3501.13
30,Changed Mind,3,Approved,4421.6
4307,Quality Issue,27,Approved,4390.72
5079,Quality Issue,17,Approved,495.34
5708,Wrong Item,16,Pending,197.81
2543,Changed Mind,1,Approved,1191.24
711,Damaged,15,Pending,4560.43
1626,Wrong Item,28,Approved,2714.88
5104,Damaged,5,Approved,3272.88
5268,Damaged,20,Approved,1795.34
3823,Quality Issue,8,Approved,2181.75
737,Damaged,4,Approved,1570.11
732,Damaged,20,Approved,4707.74
2870,Changed Mind,21,Approved,2119.07
3530,Damaged,6,Approved,4195.9
195,Quality Issue,22,Approved,861.51
4117,Wrong Item,28,Rejected,1654.48
3268,Wardrobing,1,Approved,989.12
74,Changed Mind,9,Approved,1537.78
575,Damaged,5,Pending,3371.27
2726,Changed Mind,5,Approved,793.13
4336,Wrong Item,19,Pending,2726.28
4953,Wrong Item,9,Rejected,115.31
2588,Quality Issue,13,Approved,4917.21
1773,Changed Mind,4,Rejected,274.38
5810,Wrong Item,14,Approved,3796.53
2752,Wrong Item,7,Rejected,4359.35
1893,Damaged,14,Approved,4981.53
2654,Quality Issue,18,Approved,3285.61
73,Wardrobing,28,Pending,3072.23
1812,Wrong Item,10,Pending,2832.13
3094,Wardrobing,11,Approved,3846.6
5511,Damaged,24,Approved,4366.58
4430,Changed Mind,28,Approved,2685.76
4688,Wardrobing,13,Rejected,3628.79
3270,Quality Issue,12,Approved,4815.78
664,Damaged,22,Pending,648.08
2346,Wrong Item,23,Approved,2989.66
5983,Damaged,22,Approved,430.09
266,Quality Issue,20,Approved,2234.66
5276,Wardrobing,6,Approved,3658.13
4107,Wrong Item,10,Approved,1963.49
1704,Damaged,4,Approved,590.51
4668,Wrong Item,13,Approved,4166.51
5022,Quality Issue,25,Approved,1295.57
260,Quality Issue,9,Approved,2561.47
639,Damaged,21,Approved,834.06
3995,Changed Mind,14,Approved,4947.72
5995,Damaged,7,Approved,1975.27
144,Quality Issue,9,Rejected,4126.21
3995,Wrong Item,21,Approved,1984.31
820,Damaged,24,Approved,1813.3
3901,Quality Issue,11,Approved,1278.43
3740,Quality Issue,27,Approved,2082.23
543,Wrong Item,4,Approved,4388.75
4085,Changed Mind,18,Approved,3342.11
5383,Quality Issue,9,Approved,360.14
5181,Wrong Item,27,Pending,2751.31
174,Wardrobing,23,Approved,2539.06
1476,Wardrobing,4,Approved,3466.05
1445,Damaged,13,Pending,3801.06
2720,Wardrobing,23,Approved,2872.09
859,Changed Mind,17,Approved,4391.91
5127,Damaged,16,Rejected,3245.94
4661,Quality Issue,6,Approved,1756.28
4851,Damaged,18,Approved,1944.0
1190,Quality Issue,5,Rejected,4306.83
88,Wardrobing,11,Approved,1373.14
5464,Wrong Item,9,Approved,798.46
1734,Quality Issue,20,Approved,3786.36
3938,Damaged,15,Approved,2194.69
5457,Quality Issue,14,Pending,1210.68
217,Wardrobing,3,Rejected,4165.0
33,Damaged,13,Pending,1006.32
33,Quality Issue,23,Approved,3688.94
938,Wrong Item,26,Pending,1766.9
310,Changed Mind,7,Approved,3590.55
4920,Changed Mind,23,Approved,3887.15
3636,Quality Issue,4,Rejected,870.64
5881,Wrong Item,20,Rejected,4141.61
4809,Quality Issue,9,Approved,3130.41
5780,Quality Issue,9,Approved,4309.48
1432,Quality Issue,26,Approved,254.08
1727,Quality Issue,8,Approved,3808.5
5097,Quality Issue,2,Pending,4931.01
1470,Damaged,24,Approved,3544.16
344,Damaged,24,Approved,4597.22
4015,Wardrobing,8,Rejected,2132.3
4806,Wardrobing,2,Approved,3537.86
5810,Wardrobing,18,Approved,2879.33
5567,Quality Issue,18,Approved,1742.56
722,Wardrobing,7,Approved,3153.71
4633,Quality Issue,19,Approved,1868.14
5077,Changed Mind,3,Pending,4751.9
4189,Changed Mind,19,Approved,4008.45
4919,Quality Issue,22,Pending,4367.28
5028,Wrong Item,15,Approved,3214.99
2680,Damaged,9,Rejected,4218.24
241,Wrong Item,9,Approved,1897.49
2738,Wardrobing,21,Approved,3341.01
1211,Wrong Item,14,Approved,1735.5
683,Changed Mind,28,Approved,3012.9
750,Quality Issue,29,Approved,450.02
4185,Wrong Item,14,Approved,3981.01
3028,Wardrobing,10,Approved,2166.42
3240,Damaged,24,Approved,4921.43
4472,Quality Issue,22,Approved,4305.39
3290,Quality Issue,7,Approved,3110.33
3781,Damaged,28,Approved,1402.71
517,Changed Mind,4,Pending,3186.46
5107,Quality Issue,18,Approved,3807.89
2693,Damaged,8,Approved,2413.88
932,Changed Mind,16,Approved,3003.17
4880,Quality Issue,19,Approved,4393.83
4408,Damaged,6,Approved,772.26
319,Wrong Item,10,Approved,2547.44
1159,Damaged,23,Approved,4342.67
95,Changed Mind,28,Approved,2016.66
1625,Quality Issue,27,Approved,4432.04
600,Damaged,23,Approved,2835.21
4260,Quality Issue,29,Approved,2066.63
3136,Quality Issue,7,Approved,4958.65
5882,Quality Issue,8,Approved,893.2
4497,Damaged,13,Rejected,1801.72
3670,Damaged,27,Approved,1176.99
3056,Wrong Item,24,Rejected,4916.96
328,Quality Issue,12,Pending,836.17
422,Quality Issue,3,Pending,684.82
3698,Wrong Item,19,Approved,1393.17
27,Damaged,11,Pending,3082.08
255,Quality Issue,9,Approved,1397.42
1315,Damaged,8,Approved,1702.82
5305,Wardrobing,1,Approved,2717.11
2754,Wrong Item,11,Approved,3216.89
4258,Damaged,19,Approved,2941.04
2470,Quality Issue,7,Approved,3113.34
1039,Damaged,16,Approved,3387.44
2227,Quality Issue,27,Approved,4398.58
551,Damaged,29,Approved,3407.91
4622,Wrong Item,25,Approved,3632.63
1102,Quality Issue,10,Approved,2042.94
2259,Damaged,6,Approved,4728.82
5881,Quality Issue,26,Approved,4060.45
3552,Changed Mind,13,Approved,2955.55
2752,Wardrobing,15,Pending,2297.29
3259,Damaged,14,Approved,192.69
4705,Damaged,6,Approved,4933.85
1527,Wrong Item,22,Approved,793.36
3819,Changed Mind,9,Approved,2594.51
5237,Wrong Item,9,Approved,1774.83
3435,Wrong Item,23,Rejected,1697.65
2680,Changed Mind,22,Approved,2155.36
871,Damaged,25,Approved,2904.99
1490,Quality Issue,22,Approved,149.02
5677,Quality Issue,4,Pending,855.04
3248,Wardrobing,3,Approved,3104.61
1809,Changed Mind,14,Approved,3722.8
2511,Wrong Item,11,Approved,3407.94
3469,Quality Issue,16,Approved,4955.85
3226,Quality Issue,16,Pending,333.86
4199,Damaged,19,Approved,2624.46
1545,Changed Mind,28,Approved,2150.58
3896,Changed Mind,20,Pending,1074.69
2657,Wardrobing,28,Pending,4463.39
5644,Changed Mind,25,Rejected,803.27
948,Wardrobing,1,Approved,2572.5
891,Wrong Item,10,Approved,1041.45
2770,Wrong Item,18,Rejected,2238.75
3051,Damaged,6,Pending,3973.56
4146,Wrong Item,27,Approved,3532.91
2425,Wrong Item,8,Approved,3532.02
5483,Damaged,9,Approved,1153.85
2846,Changed Mind,28,Approved,212.0
777,Damaged,6,Approved,3628.33
716,Quality Issue,17,Rejected,619.94
5841,Changed Mind,18,Pending,2011.94
805,Quality Issue,8,Approved,4235.22
5688,Damaged,13,Approved,2106.45
1669,Quality Issue,24,Rejected,2380.61
561,Changed Mind,22,Approved,4793.9
1829,Changed Mind,18,Approved,4554.39
3689,Wrong Item,17,Rejected,545.29
2568,Damaged,12,Approved,4347.55
4714,Quality Issue,19,Approved,2523.53
3666,Damaged,3,Approved,4010.07
2405,Changed Mind,4,Rejected,1825.4
3808,Quality Issue,24,Approved,4790.41
5829,Changed Mind,7,Approved,4003.13
2471,Changed Mind,3,Approved,2302.1
921,Quality Issue,3,Approved,1867.53
2453,Wardrobing,10,Approved,1134.13
5041,Quality Issue,28,Approved,1449.43
1306,Damaged,10,Approved,2266.11
5695,Changed Mind,29,Pending,1835.67
3530,Quality Issue,10,Pending,3256.17
3610,Wardrobing,20,Approved,3214.14
1903,Damaged,21,Approved,1048.11
5523,Wrong Item,20,Approved,1377.73
217,Wardrobing,1,Approved,321.47
1793,Damaged,23,Approved,1974.04
2511,Quality Issue,11,Approved,2419.91
2864,Quality Issue,24,Rejected,614.96
2845,Damaged,13,Approved,517.13
888,Damaged,25,Approved,1412.28
1354,Changed Mind,29,Approved,2507.98
572,Damaged,23,Approved,4918.83
3435,Changed Mind,15,Rejected,4583.86
2106,Changed Mind,14,Rejected,2052.25
3395,Quality Issue,13,Approved,2824.81
3539,Wrong Item,12,Approved,2842.35
4213,Damaged,15,Approved,1781.1
3283,Changed Mind,16,Approved,4298.63
3888,Damaged,22,Approved,1528.92
3523,Wrong Item,27,Approved,2192.81
3915,Wardrobing,26,Rejected,4543.81
3700,Wrong Item,19,Approved,1795.02
1898,Wrong Item,29,Approved,2604.34
1478,Wardrobing,27,Approved,4365.87
4725,Damaged,16,Rejected,1704.77
2057,Damaged,14,Approved,4812.34
3295,Wrong Item,15,Pending,1097.4
1182,Changed Mind,3,Approved,3452.45
2589,Changed Mind,11,Approved,394.18
3178,Changed Mind,13,Pending,2731.76
3757,Wardrobing,24,Approved,881.03
3159,Damaged,10,Approved,3179.55
2164,Quality Issue,20,Approved,3122.43
5771,Damaged,11,Approved,2140.67
3077,Wardrobing,12,Approved,4631.67
4850,Wardrobing,4,Approved,4467.88
4421,Wrong Item,17,Approved,3701.41
3350,Wardrobing,3,Approved,3626.29
5319,Quality Issue,8,Approved,434.32
770,Damaged,16,Rejected,1685.43
5527,Quality Issue,21,Rejected,1095.5
5102,Wardrobing,13,Pending,2003.88
3022,Wrong Item,9,Pending,634.93
4401,Damaged,27,Pending,1659.49
3122,Wardrobing,2,Pending,2897.55
1613,Wrong Item,11,Pending,914.34
4800,Wrong Item,4,Rejected,618.2
1476,Changed Mind,12,Approved,3562.75
1887,Quality Issue,8,Rejected,1309.94
3116,Wrong Item,12,Approved,2443.24
5025,Damaged,8,Pending,4208.36
2304,Changed Mind,8,Rejected,1954.89
2965,Quality Issue,22,Approved,583.01
250,Quality Issue,15,Approved,3948.14
696,Wardrobing,2,Approved,3718.69
336,Damaged,18,Approved,3090.06
433,Changed Mind,17,Approved,2735.79
5212,Changed Mind,15,Approved,3785.73
5052,Wardrobing,13,Approved,1831.01
4932,Damaged,10,Approved,1715.49
334,Wrong Item,27,Pending,3174.33
466,Quality Issue,14,Approved,915.5
1684,Wardrobing,26,Approved,3202.79
3392,Wardrobing,23,Approved,4348.62
2005,Wrong Item,19,Approved,2624.09
2926,Wardrobing,3,Pending,506.35
1038,Damaged,20,Pending,3348.03
4385,Quality Issue,25,Approved,4359.69
1884,Changed Mind,24,Pending,1064.55
400,Changed Mind,20,Approved,3099.69
4457,Wrong Item,22,Approved,1065.89
5417,Wardrobing,25,Approved,4116.63
89,Damaged,9,Approved,1338.9
2621,Quality Issue,26,Approved,3184.2
4964,Quality Issue,16,Approved,2987.66
4237,Quality Issue,6,Pending,1936.38
5140,Changed Mind,7,Approved,4512.28
2492,Quality Issue,23,Pending,4516.42
2234,Damaged,24,Approved,1766.41
4256,Damaged,20,Approved,1805.64
922,Quality Issue,20,Approved,3308.75
1437,Quality Issue,26,Pending,1491.57
3606,Quality Issue,29,Pending,1588.74
4011,Wrong Item,25,Approved,200.82
719,Damaged,6,Approved,560.32
3050,Changed Mind,24,Approved,3324.37
2190,Quality Issue,16,Approved,1671.93
3011,Quality Issue,24,Approved,498.07
5751,Quality Issue,22,Rejected,4658.01
460,Wrong Item,21,Approved,1548.94
5973,Wrong Item,26,Pending,1124.62
2698,Damaged,7,Rejected,2659.44
4633,Changed Mind,26,Approved,4170.49
2547,Wrong Item,12,Approved,4375.85
1866,Wrong Item,8,Approved,1594.92
4624,Wardrobing,22,Approved,3736.58
4126,Wrong Item,29,Approved,2663.55
865,Quality Issue,5,Approved,3017.01
4233,Wrong Item,29,Approved,2256.08
4519,Wrong Item,12,Approved,968.52
2328,Damaged,29,Approved,4120.12
5554,Changed Mind,4,Approved,2766.17
3846,Quality Issue,19,Rejected,2069.08
2002,Changed Mind,17,Approved,3409.13
65,Wardrobing,25,Approved,2185.68
4050,Damaged,15,Approved,4260.64
1255,Quality Issue,5,Approved,764.9
4540,Damaged,7,Approved,246.61
3151,Quality Issue,9,Approved,2890.03
2801,Changed Mind,26,Rejected,1358.53
983,Damaged,5,Approved,679.25
4270,Wardrobing,25,Pending,248.61
996,Quality Issue,16,Approved,3874.86
2507,Wrong Item,18,Approved,4803.05
5018,Damaged,29,Pending,3117.17
5523,Quality Issue,23,Pending,3885.87
5935,Quality Issue,20,Approved,4208.51
5749,Damaged,25,Approved,4046.59
3336,Quality Issue,15,Approved,1701.12
1203,Damaged,28,Rejected,111.52
5035,Wardrobing,24,Approved,3177.84
4810,Wrong Item,29,Approved,4743.15
5942,Quality Issue,17,Approved,4448.87
3906,Changed Mind,20,Rejected,123.3
850,Changed Mind,15,Approved,4530.61
3018,Changed Mind,27,Approved,153.21
2690,Wardrobing,19,Pending,2703.86
5058,Damaged,7,Pending,4278.01
2356,Wrong Item,16,Approved,2138.59
1972,Quality Issue,6,Approved,3450.88
481,Damaged,20,Approved,1239.21
5013,Changed Mind,21,Approved,4853.64
4532,Wardrobing,1,Approved,316.03
248,Changed Mind,2,Pending,3198.13
2603,Changed Mind,15,Approved,270.39
2879,Quality Issue,12,Pending,304.88
2816,Wrong Item,14,Approved,1424.57
5514,Wardrobing,28,Pending,174.45
905,Wardrobing,1,Approved,1115.94
1839,Changed Mind,14,Approved,854.35
1086,Changed Mind,27,Approved,4568.37
1465,Damaged,17,Approved,303.09
5443,Damaged,14,Pending,3097.86
5645,Damaged,17,Rejected,3385.65
268,Quality Issue,25,Approved,4123.03
3793,Quality Issue,15,Approved,1900.13
1398,Wrong Item,19,Approved,989.95
1156,Wardrobing,7,Rejected,696.81
1753,Damaged,3,Approved,798.39
1167,Changed Mind,4,Approved,2667.68
2942,Quality Issue,15,Approved,3024.32
5974,Wrong Item,22,Approved,3963.28
3519,Changed Mind,1,Rejected,4041.85
4340,Changed Mind,28,Pending,4229.62
2960,Changed Mind,7,Rejected,882.44
84,Wrong Item,21,Pending,3752.03
505,Quality Issue,9,Approved,456.36
1614,Quality Issue,4,Approved,4414.73
1463,Wrong Item,22,Pending,2674.26
5044,Quality Issue,16,Approved,3243.49
5062,Wrong Item,19,Pending,3136.96
5125,Changed Mind,28,Approved,2834.1
3826,Changed Mind,17,Pending,2664.41
3338,Damaged,25,Rejected,4618.32
3895,Wardrobing,2,Pending,1807.03
2441,Wrong Item,12,Rejected,3916.09
4022,Wardrobing,13,Approved,1873.58
4767,Quality Issue,12,Approved,324.86
4578,Damaged,26,Approved,1952.23
3683,Changed Mind,16,Pending,839.34
349,Damaged,28,Approved,2258.86
4350,Wardrobing,4,Approved,501.83
2200,Wardrobing,23,Approved,3948.69
4463,Quality Issue,6,Pending,2995.18
3238,Quality Issue,10,Pending,285.51
5288,Quality Issue,3,Pending,3263.05
2031,Wrong Item,27,Approved,4777.73
5589,Damaged,11,Approved,410.14
5067,Wardrobing,25,Approved,1847.9
1987,Wrong Item,14,Rejected,4484.35
2896,Wrong Item,6,Pending,263.85
3189,Damaged,12,Approved,4601.11
4612,Wardrobing,12,Approved,4944.86
4135,Wardrobing,16,Approved,2010.88
5113,Wrong Item,11,Approved,2378.47
2220,Wrong Item,21,Approved,4942.04
3029,Changed Mind,22,Approved,393.51
2586,Wrong Item,7,Approved,1658.88
5458,Wardrobing,17,Approved,410.99
1830,Wardrobing,18,Approved,3757.02
3523,Changed Mind,10,Approved,3290.91
721,Damaged,23,Pending,4330.9
5102,Changed Mind,9,Approved,1032.25
2306,Wardrobing,26,Approved,2771.01
2044,Wrong Item,15,Pending,3593.78
3498,Changed Mind,12,Approved,1481.07
2993,Wrong Item,20,Rejected,4459.36
5088,Wardrobing,19,Pending,1069.63
3189,Quality Issue,16,Rejected,679.21
3102,Damaged,21,Approved,1476.82
630,Quality Issue,10,Approved,4008.55
132,Damaged,24,Approved,3599.45
2392,Wrong Item,19,Approved,4466.7
5990,Wardrobing,8,Approved,3122.27
5505,Damaged,29,Approved,4599.02
3774,Wardrobing,26,Approved,2761.7
3785,Damaged,7,Approved,4599.9
2350,Quality Issue,24,Approved,4363.89
1066,Wardrobing,17,Approved,2419.87
52,Quality Issue,23,Approved,131.71
2034,Changed Mind,13,Approved,4930.24
1899,Wardrobing,9,Approved,2535.76
1150,Quality Issue,8,Approved,3730.65
1556,Changed Mind,4,Approved,2316.18
149,Damaged,26,Approved,1874.19
3648,Wrong Item,11,Pending,1855.32
5565,Wrong Item,28,Approved,1841.06
4145,Changed Mind,9,Approved,2939.23
2690,Quality Issue,12,Pending,4058.1
2522,Quality Issue,26,Rejected,2888.33
1846,Wardrobing,12,Approved,2677.37
855,Damaged,23,Rejected,1602.51
3591,Wardrobing,5,Approved,2367.82
3400,Damaged,28,Approved,981.0
44,Wrong Item,19,Rejected,3748.92
2494,Quality Issue,23,Approved,3937.57
1669,Wrong Item,3,Approved,1268.64
1022,Quality Issue,29,Approved,2878.34
4219,Changed Mind,16,Approved,1495.51
3155,Changed Mind,8,Approved,4889.26
3803,Damaged,7,Pending,1564.3
4281,Damaged,5,Approved,4333.84
5891,Damaged,21,Pending,3531.57
4817,Damaged,4,Approved,4831.45
3723,Damaged,28,Approved,3625.38
5275,Wrong Item,9,Rejected,3084.94
2866,Changed Mind,5,Approved,2356.19
5909,Wardrobing,26,Pending,2408.56
4569,Changed Mind,1,Rejected,106.09
3906,Damaged,17,Pending,4984.9
5420,Quality Issue,25,Approved,2881.37
3091,Damaged,22,Approved,2976.14
4325,Wrong Item,7,Approved,984.18
1709,Wrong Item,14,Pending,2216.78
5780,Wardrobing,27,Approved,1173.51
3741,Quality Issue,21,Rejected,1172.24
4693,Wrong Item,19,Approved,2782.95
2765,Quality Issue,7,Pending,1280.39
5201,Wardrobing,17,Pending,3366.34
446,Damaged,7,Pending,1945.52
685,Changed Mind,21,Approved,1945.81
3043,Damaged,8,Pending,3540.81
4395,Damaged,10,Approved,3386.54
4856,Changed Mind,18,Approved,2078.01
2641,Changed Mind,2,Pending,4657.42
3899,Changed Mind,21,Pending,1708.43
3319,Damaged,14,Approved,3620.01
5770,Quality Issue,16,Pending,3989.08
3925,Quality Issue,23,Approved,1169.5
2502,Changed Mind,23,Approved,2423.59
5819,Changed Mind,27,Approved,202.72
644,Quality Issue,7,Approved,1717.46
5908,Wrong Item,14,Pending,1422.89
925,Damaged,5,Rejected,3880.26
1730,Quality Issue,10,Approved,1181.55
4929,Quality Issue,17,Approved,224.63
4403,Damaged,6,Rejected,215.9
5823,Wardrobing,15,Approved,3842.2
4500,Wrong Item,28,Approved,802.52
3823,Damaged,4,Pending,3255.79
2079,Wardrobing,9,Approved,1087.65
29,Quality Issue,10,Approved,1185.95
744,Changed Mind,27,Approved,4051.53
1787,Damaged,22,Approved,3441.99
246,Wrong Item,7,Approved,3307.15
3050,Quality Issue,21,Approved,4650.51
4665,Wrong Item,3,Pending,4364.02
5780,Changed Mind,24,Pending,4249.45
2939,Damaged,9,Pending,767.03
5251,Damaged,22,Rejected,913.29
5914,Damaged,16,Approved,4912.23
5159,Wrong Item,22,Approved,2924.98
2790,Damaged,12,Approved,2792.05
1952,Changed Mind,17,Approved,2577.9
5868,Quality Issue,27,Approved,3705.4
1452,Damaged,24,Approved,3013.81
2470,Quality Issue,17,Approved,834.47
445,Damaged,27,Approved,602.03
4763,Wrong Item,6,Rejected,1583.86
3900,Changed Mind,21,Pending,4363.24
509,Wardrobing,4,Rejected,2070.91
1332,Quality Issue,9,Approved,4374.16
3333,Wrong Item,13,Approved,2906.59
3243,Quality Issue,3,Rejected,4654.64
4813,Changed Mind,21,Approved,4433.75
1597,Quality Issue,19,Approved,1942.24
5549,Quality Issue,24,Approved,2800.64
2667,Wardrobing,20,Rejected,3577.62
4936,Wrong Item,29,Approved,323.71
1431,Changed Mind,25,Approved,883.53
222,Quality Issue,18,Pending,3677.23
331,Damaged,3,Approved,4581.25
2237,Damaged,12,Approved,1587.87
5719,Quality Issue,6,Approved,2030.67
293,Wrong Item,14,Approved,4384.68
2214,Quality Issue,29,Pending,1404.3
656,Changed Mind,13,Approved,4637.8
5590,Quality Issue,25,Pending,791.42
4052,Wardrobing,3,Approved,1335.25
4577,Quality Issue,18,Approved,273.65
4280,Quality Issue,3,Approved,558.14
3943,Changed Mind,21,Approved,1349.99
4643,Damaged,9,Pending,3310.21
49,Wardrobing,15,Approved,1084.25
5193,Damaged,29,Pending,4702.61
4440,Damaged,9,Approved,1808.46
4437,Changed Mind,28,Approved,2641.44
2361,Damaged,25,Pending,3358.29
4806,Wardrobing,3,Pending,768.12
2291,Damaged,12,Approved,3469.75
294,Changed Mind,29,Pending,690.77
